path,true,pred,correct,confidence,all_scores
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16523284_0.jpg,clip,clip,True,0.998,"{""clip"": 0.9977, ""hook_ring"": 0.0023, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16531458_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16531460_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16531461_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16531462_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16539656_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16539657_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16539659_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16547902_0.jpg,clip,clip,True,1.0,"{""clip"": 0.9995, ""hook_ring"": 0.0005, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\clip\S__16556034_0.jpg,clip,clip,True,1.0,"{""clip"": 1.0, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16531464_0.jpg,hook_ring,hook_ring,True,0.999,"{""clip"": 0.0009, ""hook_ring"": 0.9991, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16531467_0.jpg,hook_ring,hook_ring,True,0.999,"{""clip"": 0.0007, ""hook_ring"": 0.9993, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16539704_0.jpg,hook_ring,hook_ring,True,0.999,"{""clip"": 0.0006, ""hook_ring"": 0.9993, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0001}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547857_0.jpg,hook_ring,hook_ring,True,0.998,"{""clip"": 0.0018, ""hook_ring"": 0.9976, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0002, ""ring"": 0.0003}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547858_0.jpg,hook_ring,hook_ring,True,0.998,"{""clip"": 0.0013, ""hook_ring"": 0.9978, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0002, ""ring"": 0.0007}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547913_0.jpg,hook_ring,hook_ring,True,1.0,"{""clip"": 0.0001, ""hook_ring"": 0.9999, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547914_0.jpg,hook_ring,hook_ring,True,1.0,"{""clip"": 0.0001, ""hook_ring"": 0.9998, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547915_0.jpg,hook_ring,hook_ring,True,1.0,"{""clip"": 0.0001, ""hook_ring"": 0.9999, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16547918_0.jpg,hook_ring,hook_ring,True,0.996,"{""clip"": 0.002, ""hook_ring"": 0.9961, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0006, ""ring"": 0.0013}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\hook_ring\S__16556045_0.jpg,hook_ring,hook_ring,True,0.998,"{""clip"": 0.0004, ""hook_ring"": 0.9983, ""magnet_clip_big"": 0.0, ""magnet_clip_small"": 0.0002, ""ring"": 0.0012}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16539666_0.jpg,magnet_clip_big,magnet_clip_big,True,0.983,"{""clip"": 0.0105, ""hook_ring"": 0.0001, ""magnet_clip_big"": 0.9828, ""magnet_clip_small"": 0.0065, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16547864_0.jpg,magnet_clip_big,magnet_clip_big,True,0.999,"{""clip"": 0.0009, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.9985, ""magnet_clip_small"": 0.0006, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16547870_0.jpg,magnet_clip_big,magnet_clip_big,True,0.995,"{""clip"": 0.001, ""hook_ring"": 0.0001, ""magnet_clip_big"": 0.9954, ""magnet_clip_small"": 0.0036, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16547874_0.jpg,magnet_clip_big,magnet_clip_big,True,0.998,"{""clip"": 0.001, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.9981, ""magnet_clip_small"": 0.0009, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16547921_0.jpg,magnet_clip_big,magnet_clip_big,True,0.998,"{""clip"": 0.0008, ""hook_ring"": 0.0001, ""magnet_clip_big"": 0.9979, ""magnet_clip_small"": 0.0011, ""ring"": 0.0001}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16547926_0.jpg,magnet_clip_big,magnet_clip_big,True,0.989,"{""clip"": 0.0073, ""hook_ring"": 0.0001, ""magnet_clip_big"": 0.9887, ""magnet_clip_small"": 0.0039, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16556058_0.jpg,magnet_clip_big,magnet_clip_big,True,0.991,"{""clip"": 0.0012, ""hook_ring"": 0.0005, ""magnet_clip_big"": 0.9912, ""magnet_clip_small"": 0.0062, ""ring"": 0.0009}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16556061_0.jpg,magnet_clip_big,magnet_clip_big,True,0.97,"{""clip"": 0.0044, ""hook_ring"": 0.0004, ""magnet_clip_big"": 0.9695, ""magnet_clip_small"": 0.0251, ""ring"": 0.0007}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16556062_0.jpg,magnet_clip_big,magnet_clip_big,True,0.999,"{""clip"": 0.0002, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.9994, ""magnet_clip_small"": 0.0005, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_big\S__16556066_0.jpg,magnet_clip_big,magnet_clip_big,True,0.997,"{""clip"": 0.0026, ""hook_ring"": 0.0, ""magnet_clip_big"": 0.9971, ""magnet_clip_small"": 0.0003, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16523294_0.jpg,magnet_clip_small,magnet_clip_small,True,0.924,"{""clip"": 0.0052, ""hook_ring"": 0.0048, ""magnet_clip_big"": 0.034, ""magnet_clip_small"": 0.9238, ""ring"": 0.0322}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16531478_0.jpg,magnet_clip_small,magnet_clip_small,True,0.983,"{""clip"": 0.0045, ""hook_ring"": 0.0022, ""magnet_clip_big"": 0.0097, ""magnet_clip_small"": 0.9832, ""ring"": 0.0004}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16539673_0.jpg,magnet_clip_small,magnet_clip_small,True,0.881,"{""clip"": 0.0101, ""hook_ring"": 0.0098, ""magnet_clip_big"": 0.0363, ""magnet_clip_small"": 0.8815, ""ring"": 0.0624}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16539675_0.jpg,magnet_clip_small,magnet_clip_small,True,0.983,"{""clip"": 0.0017, ""hook_ring"": 0.0016, ""magnet_clip_big"": 0.0124, ""magnet_clip_small"": 0.9831, ""ring"": 0.0013}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16539680_0.jpg,magnet_clip_small,magnet_clip_small,True,0.921,"{""clip"": 0.016, ""hook_ring"": 0.0096, ""magnet_clip_big"": 0.0329, ""magnet_clip_small"": 0.9211, ""ring"": 0.0203}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16547885_0.jpg,magnet_clip_small,magnet_clip_small,True,0.998,"{""clip"": 0.0003, ""hook_ring"": 0.0008, ""magnet_clip_big"": 0.0003, ""magnet_clip_small"": 0.9984, ""ring"": 0.0001}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16547933_0.jpg,magnet_clip_small,magnet_clip_small,True,0.998,"{""clip"": 0.0001, ""hook_ring"": 0.0003, ""magnet_clip_big"": 0.0016, ""magnet_clip_small"": 0.9979, ""ring"": 0.0}"
C:\Users\yuka\OneDrive - 長崎総合科学大学\卒業研究\resnet_parts_classifier\data\val\magnet_clip_small\S__16556067_0.jpg,magnet_clip_small,magnet_clip_small,True,0.996,"{""clip"": 0.0002, ""hook_ring"": 0.0004, ""magnet_clip_big"": 0.0037, ""magnet_clip_small"": 0.9955, ""ring"": 0.0002}"
